author,science_comments,denial_comments,total_comments,sci_ratio,bridge_type
@psikeyhackr6914,3,1,4,0.75,science-leaning
@Dodger481,2,2,4,0.5,balanced
@stowcreek1999,1,3,4,0.25,denial-leaning
@rogerphelps9939,1,3,4,0.25,denial-leaning
@praem9597,2,2,4,0.5,balanced
@PhongNguyễnNgọc-p4v,2,2,4,0.5,balanced
@ppetal1,2,2,4,0.5,balanced
@plasmaastronaut,2,2,4,0.5,balanced
@Deep-Time-Capsules,3,1,4,0.75,science-leaning
@TCRgalaxy,2,2,4,0.5,balanced
@user-jz7mo6un1u,2,2,4,0.5,balanced
@Midwest7852,1,3,4,0.25,denial-leaning
@augustus331,2,2,4,0.5,balanced
@aarontoussaint8364,2,2,4,0.5,balanced
@aditisk99,2,2,4,0.5,balanced
@GhostOnTheHalfShell,2,2,4,0.5,balanced
@Bertmussen,2,2,4,0.5,balanced
@5353Jumper,1,3,4,0.25,denial-leaning
@Google_ai_told_me_my_iq_is155,3,1,4,0.75,science-leaning
@Intelli24U,1,3,4,0.25,denial-leaning
@melsop54,3,1,4,0.75,science-leaning
@2adamast,1,3,4,0.25,denial-leaning
@apumasterp,1,3,4,0.25,denial-leaning
@andrew30m,1,3,4,0.25,denial-leaning
@maxtabmann6701,2,2,4,0.5,balanced
@GordoGambler,1,3,4,0.25,denial-leaning
