author,camp,mean_compound,std_compound,n_comments,pct_negative,pct_positive
@5tonyvvvv,denial,-0.29558767199999997,0.2773559377708361,4,0.5,0.0
@6013charlie,denial,-0.2849074066666667,0.07932634504691699,3,0.3333333333333333,0.0
@61.pranamyajoshi23,science,-0.5466617,,1,1.0,0.0
@6155510,denial,-0.6394045,,1,1.0,0.0
@616Haggard,science,-0.35326096,,1,0.0,0.0
@616ShadowFox,science,-0.6959514,0.11216693448605965,2,1.0,0.0
@62.Cowboy,denial,-0.64604044,,1,1.0,0.0
@62Sketch,denial,-0.4615084552,0.5349087252818113,4,0.5,0.0
@62Sketch,science,-0.5414751,0.3488333114074974,2,0.5,0.0
@631pablo,science,-0.84122527,,1,1.0,0.0
@63flight,denial,-0.045170307,,1,0.0,0.0
@63phillip,science,-0.3787854,,1,1.0,0.0
@64TommyG,science,-0.8050655,,1,1.0,0.0
@64ccd,science,0.8830562,,1,0.0,1.0
@64faffi,denial,0.61586833,,1,0.0,1.0
@64jcl,science,-0.21788007125,0.5061660129592714,8,0.375,0.125
@6502-Coder,denial,0.867762325,0.04339701699438855,2,0.0,1.0
@653j521,science,0.029505484,,1,0.0,0.0
@65FullMoon83,denial,-0.38376207,0.710655028872406,2,0.5,0.0
@65FullMoon83,science,0.10064958,,1,0.0,0.0
@65MaX73,denial,-0.41995564,0.0,2,0.0,0.0
@65avo65,denial,-0.32572585,,1,0.0,0.0
@65mcman,science,-0.68050146,,1,1.0,0.0
@666MaRius9991,denial,-0.49731916,,1,1.0,0.0
@66sprint,science,-0.8227411,,1,1.0,0.0
@66steverose,science,-0.29410663,,1,0.0,0.0
