camp,community,community_size,mean_compound,pct_negative,active_users
denial,255,3,-0.4561738705555555,0.5555555555555555,3
denial,259,3,-0.2636042433333333,0.0,3
denial,268,3,-0.08195767944444445,0.38888888888888884,3
denial,277,3,-0.4644690338888888,0.5,3
denial,285,3,-0.06882667916666664,0.3333333333333333,3
denial,290,3,-0.38472679166666673,0.6666666666666666,3
denial,291,3,-0.5607892094444444,0.8333333333333334,3
denial,295,3,-0.21124608601709402,0.37606837606837606,3
denial,297,3,-0.2759207106666667,0.3333333333333333,3
denial,298,3,-0.6620673953333333,0.7777777777777777,3
denial,301,3,-0.5827610811111111,0.75,3
denial,303,3,-0.45683220111111106,0.7222222222222222,3
denial,312,3,0.16758264216666666,0.0,3
denial,326,3,-0.15678616163333334,0.16666666666666666,3
denial,335,3,-0.7977772016666668,0.8333333333333334,3
denial,338,3,-0.34973629061111117,0.5,3
denial,341,3,-0.05749954999999999,0.5,3
denial,346,3,-0.3674807677777778,0.8333333333333334,3
denial,349,3,-0.14981734,0.5,2
denial,360,3,-0.42880781177777777,0.4444444444444445,3
denial,364,3,-0.7133904613333333,0.9333333333333332,3
denial,383,3,0.2075057733333333,0.3333333333333333,3
denial,386,3,-0.406518675,0.5555555555555555,3
denial,389,3,-0.2580127953333333,0.16666666666666666,3
denial,395,3,-0.6575294633333333,0.8333333333333334,3
denial,405,3,-0.03870408833333331,0.4444444444444444,3
denial,406,3,-0.5047549033333333,0.6666666666666666,3
denial,410,3,-0.7379108166666667,0.8333333333333334,3
denial,421,3,-0.5172766708333333,0.25,3
denial,439,3,-0.43635392666666667,0.6666666666666666,3
denial,444,3,-0.7937167313333333,1.0,3
denial,453,3,-0.43340402388888893,0.611111111111111,3
denial,459,3,-0.5558855033333333,0.5833333333333334,3
denial,469,3,-0.3005252883333333,0.27777777777777773,3
denial,473,3,-0.27228652333333336,0.6666666666666666,3
denial,475,3,-0.6482431816666666,1.0,3
denial,487,3,-0.12738160522222222,0.1111111111111111,3
denial,488,3,-0.40487729666666666,0.6666666666666666,3
denial,493,3,-0.21089508129999998,0.24615384615384617,3
denial,499,3,-0.41156457500000004,0.5,2
denial,501,3,-0.4705491941111111,0.5,3
denial,508,3,-0.16246741866666667,0.41666666666666663,2
denial,515,3,-0.29875950833333337,0.6666666666666666,3
denial,532,3,-0.42098167571733336,0.41666666666666663,2
