in_degree,out_degree,pagerank,betweenness,eigenvector,closeness,influence_composite,author,camp,activity
0,2,0.00024966984898537066,0.0,-1.0367349023639444e-19,0.0,0.0,@Cholo282,science,2
2,0,0.00046143556581046614,0.0,9.890200921729958e-19,0.0,0.013588228939796552,@jocksmachina7759,science,1
0,2,0.00024966984898537066,0.0,-3.4908830939228166e-19,0.0,0.0,@Christianmingle420,science,10
2,0,0.00046143556581046614,0.0,-2.889436639822732e-20,0.0,0.013588228939796552,@johnruckman2320,science,1
0,2,0.00024966984898537066,0.0,1.4820541505781942e-18,0.0,0.0,@ChristopherCurtis,science,2
4,0,0.0006732012826355617,0.0,3.556150313715898e-18,0.0,0.027176457879593108,@majorgnu,science,1
0,2,0.00024966984898537066,0.0,2.053461848140795e-18,0.0,0.0,@ChuckisNorrish,science,2
2,0,0.00046143556581046614,0.0,2.2026870307391007e-18,0.0,0.013588228939796552,@tahay2004,science,1
0,2,0.00024966984898537066,0.0,-1.44901401647806e-18,0.29518072289156627,0.07078313253012049,@ChukMitchell,science,2
2,2,0.00046143556581046614,0.0,2.120662364504779e-18,0.0,0.013588228939796552,@ClimateDN,science,7
2,0,0.0006423179697581825,0.0,-2.995626190708169e-17,0.0,0.02177813770422567,@infiad1275,science,1
0,2,0.00024966984898537066,0.0,-7.033590690379633e-19,0.0,0.0,@Collin-p9m,science,2
4,0,0.0006732012826355617,0.0,-3.672423507422398e-18,0.0,0.027176457879593108,@Guineapigofdeath73,science,1
0,2,0.00024966984898537066,0.0,1.974074538153902e-18,0.0,0.0,@Colt_man_2019,science,4
2,0,0.00046143556581046614,0.0,-1.4150702139310609e-18,0.0,0.013588228939796552,@Jeonginlovrrr,science,1
0,2,0.00024966984898537066,0.0,-4.595844501979501e-19,0.0,0.0,@Comin_at_U_Live,science,2
2,0,0.00046143556581046614,0.0,1.3835377282096525e-18,0.0,0.013588228939796552,@bigdaddyj2026,science,1
0,3,0.00024966984898537066,0.0,-3.834501922196646e-18,0.0,0.0,@ConfidentlyUninformed,science,5
3,0,0.00046143556581046614,0.0,-6.169388994073311e-18,0.0,0.015588228939796552,@AllAboutClimate,science,2
0,2,0.00024966984898537066,0.0,-1.0902210206794913e-18,0.0,0.0,@ConstitutionDefeatsTyranny,science,2
4,0,0.0006732012826355617,0.0,3.63879746180133e-18,0.0,0.027176457879593108,@HckrNeo1,science,1
0,2,0.00024966984898537066,0.0,5.594810766284638e-19,0.16666666666666666,0.039965986394557826,@CoolMusicToMyEars,science,2
23,0,0.0026269600458354017,0.0,-1.943793853935394e-16,0.19959266802443992,0.20149933918853136,Extinction Rebellion (XR) UK,science,0
0,2,0.00024966984898537066,0.0,-1.255858730448621e-18,0.0,0.0,@CooldBloodedGaming,science,2
2,0,0.00046143556581046614,0.0,-7.545232222072654e-19,0.0,0.013588228939796552,@elynab.8537,science,1
0,2,0.00024966984898537066,0.0,3.562612968944831e-18,0.0,0.0,@CornPopWazABadDude,science,2
2,0,0.00046143556581046614,0.0,6.693825834287075e-18,0.0,0.013588228939796552,@JacklynGibson-l6o,science,1
0,2,0.00024966984898537066,0.0,1.4010826453558173e-18,0.0,0.0,@Cozmikazi,science,2
4,0,0.0006732012826355617,0.0,-1.7645168704141745e-18,0.0,0.027176457879593108,@pbdye1607,science,1
0,2,0.00024966984898537066,0.0,-1.2423679649643494e-18,0.0,0.0,@CraigDavies.,science,3
2,0,0.00046143556581046614,0.0,3.659454841071967e-19,0.0,0.013588228939796552,@jonathonjubb6626,science,1
0,2,0.00024966984898537066,0.0,-2.2863913170226843e-20,0.0,0.0,@Crispr_CAS9,science,2
2,0,0.00046143556581046614,0.0,5.517968939803735e-18,0.0,0.013588228939796552,@Alekosssvr,science,0
0,2,0.00024966984898537066,0.0,2.6517452520405684e-18,0.0,0.0,@CristiánArenasUlloa,science,2
2,0,0.00046143556581046614,0.0,5.3550272844931624e-18,0.0,0.013588228939796552,@reality8763,science,1
0,2,0.00024966984898537066,0.0,1.3538559968035326e-19,0.0,0.0,@CrystalM,science,2
2,0,0.00046143556581046614,0.0,1.0727054141737064e-18,0.0,0.013588228939796552,@focalized,science,1
0,4,0.00024966984898537066,0.0,-3.6124873584265975e-18,0.0,0.0,@Cspacecat,science,5
22,0,0.0010967327162857525,0.0,-3.0725202327327035e-17,0.0,0.08235291575918621,connect741,science,0
2,2,0.0003555527073979184,0.0,4.428234269699956e-18,0.0,0.008794114469898275,@D-B-Cooper,science,2
4,0,0.0007636424846094198,0.0,7.483779322835557e-19,0.0,0.031271412261807664,CDN,science,0
0,2,0.00024966984898537066,0.0,3.354594003022013e-19,0.0,0.0,@DBT1007,science,4
2,0,0.00046143556581046614,0.0,2.697921715464728e-19,0.0,0.013588228939796552,@Yaxoi,science,1
0,2,0.00024966984898537066,0.0,-2.4853048591502775e-18,0.0,0.0,@DRSulik,science,3
5,0,0.0006732012826355617,0.0,4.407708410982448e-18,0.0,0.02917645787959311,@Abhiram-b7q,science,1
0,2,0.00024966984898537066,0.0,-2.2011184648331925e-18,0.0,0.0,@DSN007,science,2
2,0,0.00046143556581046614,0.0,-6.744233411600916e-19,0.0,0.013588228939796552,@Magik1369,science,4
0,2,0.00024966984898537066,0.0,6.987452382475724e-19,0.0,0.0,@DaVe-iSnOtHoMe.MaN.LemmingsWeB,science,3
2,0,0.00046143556581046614,0.0,3.1725344364436065e-18,0.0,0.013588228939796552,@michaels7566,science,1
0,2,0.00024966984898537066,0.0,-1.44580468014963e-19,0.0,0.0,@Dabzsy,science,2
2,0,0.00046143556581046614,0.0,1.7985416973297196e-18,0.0,0.013588228939796552,@drilltok7838,science,1
0,3,0.00024966984898537066,0.0,6.81974535918944e-19,0.0,0.0,@Damien81ful,science,3
6,0,0.0006732012826355617,0.0,4.976220538501922e-18,0.0,0.031176457879593108,Oppenheimer Ranch Project,science,0
2,5,0.00046143556581046614,0.0,-1.4591219731047907e-18,0.0,0.013588228939796552,@DanA-nl5uo,science,5
2,0,0.00040672909729449537,0.0,2.623742150846257e-18,0.0,0.011111255081690266,@kushalvora7682,science,2
9,0,0.0011205558719243442,0.0,2.5229678725647267e-17,0.0,0.05743156944192507,Democracy Now!,science,0
0,2,0.00024966984898537066,0.0,-2.3049102656603758e-18,0.0,0.0,@Daniel-sn8fg,science,2
2,0,0.00046143556581046614,0.0,-5.515154897458631e-18,0.0,0.013588228939796552,@georglieber2158,science,1
0,2,0.00024966984898537066,0.0,4.145155499902725e-18,0.0,0.0,@DannyHatcher,science,2
2,0,0.00046143556581046614,0.0,3.0007924281643026e-18,0.0,0.013588228939796552,@DemetriPanici,science,1
0,2,0.00024966984898537066,0.0,-2.9648358521033205e-18,0.0,0.0,@Danny_Tin,science,4
4,0,0.0006060789393546673,0.0,3.17130049961768e-17,0.0,0.02413732385921535,@EcoHouseThailand,science,1
0,2,0.00024966984898537066,0.0,-1.0949929317083425e-18,0.0,0.0,@DareusTyn,science,2
